Identifier,Setup,Key,Value,Cut,Position
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,E,10^15.7,cut,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,E,10^19 eV,cut,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Xc,-500,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Xc,+91 m,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Yc,-550,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Yc,+91 m,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Ze,0°,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Ze,30°,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Az,0°,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Az,360°,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Ne,1e3.2 / 1e4.8,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Ne,1.0e9,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Nmu,1000,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Nmu,1.9e9,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Age,0.15,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Age,1.48,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Age,0.1,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Age,1.48,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,T,-20 °,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,T,+50°,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,P,960,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,P,1040 hPa,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,Gt,"1,078,737,917",full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,Gt,"1,288,855,193",full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,Mt,0,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,Mt,"999,999,999",full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,DateTime,08-03-04,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,DateTime,04-11-10,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,R,4775,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,R,7039,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,Ev,1,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,Ev,"4,100,000",full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,UUID,,full range,
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,EfieldMaxAbs,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,EfieldMaxAbs,"50,000 V/m",,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,AzL_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,AzL_EW_NS,360°,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,ElL_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,ElL_EW_NS,360°,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,CC_Height_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,CC_Height_EW_NS,20 μV/m/MHz,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,XHeight_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,XHeight_EW_NS,20 μV/m/MHz,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,ConeAngle_EW_NS,0.0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,ConeAngle_EW_NS,"0,1 rad",,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,NCCBeanAnt_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,NCCBeanAnt_EW_NS,30,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Eta_EW_NS,-0.04,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Eta_EW_NS,0.11 /m,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Eps_EW_NS,-0.04,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Eps_EW_NS,0.11 μV/m/MHz,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Geomag_Angle,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Geomag_Angle,120 °,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Geomag_AngleG,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Geomag_AngleG,120 °,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Reconstruction,65 or 71,,
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,LopesCompID,0 or 1,,
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,E,10^15.7,cut,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,E,10^19 eV,cut,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Xc,-500,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Xc,+91 m,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Yc,-550,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Yc,+91 m,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Ze,0°,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Ze,30°,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Az,0°,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Az,360°,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Ne,1e3.2 / 1e4.8,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Ne,1.0e9,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Nmu,1000,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Nmu,1.9e9,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Age,0.15,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Age,1.48,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Age,0.1,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,KASCADE,Age,1.48,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,T,-20 °,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,T,+50°,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,P,960,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,P,1040 hPa,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,Gt,"1,078,737,917",full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,Gt,"1,288,855,193",full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,Mt,0,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,Mt,"999,999,999",full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,DateTime,08-03-04,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,DateTime,04-11-10,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,R,4775,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,R,7039,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,Ev,1,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,Ev,"4,100,000",full range,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,GENERAL,UUID,,full range,
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,EfieldMaxAbs,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,EfieldMaxAbs,"50,000 V/m",,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,AzL_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,AzL_EW_NS,360°,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,ElL_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,ElL_EW_NS,360°,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,CC_Height_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,CC_Height_EW_NS,20 μV/m/MHz,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,XHeight_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,XHeight_EW_NS,20 μV/m/MHz,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,ConeAngle_EW_NS,0.0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,ConeAngle_EW_NS,"0,1 rad",,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,NCCBeanAnt_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,NCCBeanAnt_EW_NS,30,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Eta_EW_NS,-0.04,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Eta_EW_NS,0.11 /m,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Eps_EW_NS,-0.04,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Eps_EW_NS,0.11 μV/m/MHz,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Geomag_Angle,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Geomag_Angle,120 °,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Geomag_AngleG,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Geomag_AngleG,120 °,,range till
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,Reconstruction,65 or 71,,
COMBINED_HighEnergyData_runs_4775-7039_HDF5,LOPES,LopesCompID,0 or 1,,
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,E,10^15.7,cut,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,E,10^19 eV,cut,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Xc,-500,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Xc,+91 m,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Yc,-550,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Yc,+91 m,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Ze,0°,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Ze,30°,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Az,0°,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Az,360°,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Ne,1e3.2 / 1e4.8,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Ne,1.0e9,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Nmu,1000,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Nmu,1.9e9,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Age,0.15,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Age,1.48,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Age,0.1,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,KASCADE,Age,1.48,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,T,-20 °,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,T,+50°,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,P,960,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,P,1040 hPa,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,Gt,"1,078,737,917",full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,Gt,"1,288,855,193",full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,Mt,0,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,Mt,"999,999,999",full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,DateTime,08-03-04,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,DateTime,04-11-10,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,R,4775,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,R,7039,full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,Ev,1,full range,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,Ev,"4,100,000",full range,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,GENERAL,UUID,,full range,
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,EfieldMaxAbs,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,EfieldMaxAbs,"50,000 V/m",,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,AzL_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,AzL_EW_NS,360°,,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,ElL_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,ElL_EW_NS,360°,,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,CC_Height_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,CC_Height_EW_NS,20 μV/m/MHz,,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,XHeight_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,XHeight_EW_NS,20 μV/m/MHz,,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,ConeAngle_EW_NS,0.0,,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,ConeAngle_EW_NS,"0,1 rad",,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,NCCBeanAnt_EW_NS,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,NCCBeanAnt_EW_NS,30,,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,Eta_EW_NS,-0.04,,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,Eta_EW_NS,0.11 /m,,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,Eps_EW_NS,-0.04,,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,Eps_EW_NS,0.11 μV/m/MHz,,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,Geomag_Angle,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,Geomag_Angle,120 °,,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,Geomag_AngleG,0,,range from
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,Geomag_AngleG,120 °,,range till
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,Reconstruction,65 or 71,,
COMBINED_HighEnergyData_runs_4775-7039_ROOT,LOPES,LopesCompID,0 or 1,,
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,E,10^15,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,E,10^19 eV,1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Xc,-500,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Xc,+91 m,1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Yc,-550,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Yc,+91 m,1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Ze,0°,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Ze,30°,1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Az,0°,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Az,360°,1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Ne,1e3.2 / 1e4.8,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Ne,1.0e9,1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Nmu,1000,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Nmu,1.9e9,1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Age,0.15,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,COMBINED,Age,1.48,1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,T,-20 °,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,T,+50°,1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,P,960,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,P,1040 hPa,1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,Gt,"1,078,737,917",1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,Gt,"1,288,855,193",1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,Mt,0,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,Mt,"999,999,999",1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,DateTime,08-03-04,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,DateTime,04-11-10,1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,R,4775,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,R,7039,1/40th,range till
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,Ev,1,1/40th,range from
COMBINED_ReducedData_runs_4775-7039_ASCII,GENERAL,Ev,"4,100,000",1/40th,range till
